DOW,Date,Day,AZ CaseByDate,Pima CaseByDate,Pima CaseCount,AZ CasesCount,NNCaseCount,AZ7DayAvgInc,Pima7DayAvgCaseInc,NN7DayAvgCaseInc,AZinHosp,AZinICU,AZwithVent,AZDischarge,AZinED,AZIntub,AZPCR,PIMAPCR,AZCTR,PIMACTR
M,43899,8,2,0,1,5,,0.571428571,0.142857143,,,,,,,,44,3,14,5
T,43900,9,1,0,1,6,,0.571428571,0.142857143,,,,,,,,46,8,19.2,7
W,43901,10,4,2,1,9,,0.857142857,0,,,,,,,,102,31,28,15
T,43902,11,14,1,3,9,,1.285714286,0.428571429,,,,,,,,301,58,28.875,22
F,43903,12,12,2,4,9,,0.714285714,0.428571429,,,,,,,,414,81,23.81818182,34
S,43904,13,13,4,4,12,,1,0.428571429,,,,,,,,216,30,27.81818182,36.4
S,43905,14,15,2,6,12,,1,0.714285714,,,,,,,,258,27,24.56521739,23.55555556
M,43906,15,53,6,6,18,,1.857142857,0.714285714,,,,,,,,942,140,22.63934426,21.63636364
T,43907,16,87,9,6,20,2,2,0.714285714,0.285714286,,,,,,,1253,176,20.34821429,22.05882353
W,43908,17,71,8,10,27,3,2.571428571,1.285714286,0.428571429,,,,,,,1326,210,17.60606061,20.88461538
T,43909,18,69,6,10,44,8.5,5,1,1.214285714,,,,,,,1518,235,17.77358491,22.5625
F,43910,19,121,18,10,63,14,7.714285714,0.857142857,2,,,,,,,1719,300,18.521875,24.2972973
S,43911,20,50,8,12,104,26,13.14285714,1.142857143,3.714285714,,,,,,,683,103,16.85780886,21.09433962
S,43912,21,55,14,17,152,27.5,20,1.571428571,3.928571429,,,,,,,592,103,16.52145923,20.89473684
M,43913,22,165,29,24,235,29,31,2.571428571,4.142857143,,,,,,,2248,371,15.87549407,18.36231884
T,43914,23,144,26,42,326,39,43.71428571,5.142857143,5.285714286,,,,,,,2289,324,15.11165049,16.2826087
W,43915,24,175,26,49,401,69,53.42857143,5.571428571,9.428571429,,,,,,,2428,363,15.37037037,15.10091743
T,43916,25,176,31,75,508,71,66.28571429,9.285714286,8.928571429,,,,,,,2124,305,14.73299101,14.16535433
F,43917,26,156,22,102,665,92,86,13.14285714,11.14285714,,,,,,,2089,299,13.63769752,12.29605263
S,43918,27,115,21,120,773,115,95.57142857,15.42857143,12.71428571,,,,,,,1038,135,13.52117264,11.97435897
S,43919,28,83,14,153,919,128,109.5714286,19.42857143,14.35714286,,,,,,,615,61,12.98985801,11.24260355
M,43920,29,196,29,187,1157,151,131.7142857,23.28571429,17.42857143,,,,,,,2067,253,12.65384615,10.99408284
T,43921,30,166,38,202,1289,174,137.5714286,22.85714286,19.28571429,,,,,,,1931,208,12.10526316,10.29585799
W,43922,31,197,35,217,1413,214,144.5714286,24,20.71428571,,,,,,,1873,221,11.52014995,8.972375691
T,43923,32,170,37,237,1598,214,155.7142857,23.14285714,20.42857143,,,,,,,2020,238,10.77777778,7.8
F,43924,33,200,43,280,1769,270,157.7142857,25.42857143,25.42857143,,,,,,,1886,259,10.74145891,7.219387755
S,43925,34,119,19,326,2019,321,178,29.42857143,29.42857143,,,,,,,898,100,10.14196983,6.33640553
S,43926,35,104,26,372,2269,354,192.8571429,31.28571429,32.28571429,,,,,,,680,69,9.982316534,6.23255814
M,43927,36,269,53,415,2456,384,185.5714286,32.57142857,33.28571429,,,,,,,2227,248,9.856770833,5.938325991
T,43928,37,195,36,415,2575,426,183.7142857,30.42857143,36,,,,,,,1759,221,9.4,5.35059761
